SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
22020,1610612759,SAS,San Antonio Spurs,0022000767,2021-04-05,SAS vs. CLE,L,240,101,35,83,0.422,5,26,0.192,26,32,0.813,8,30,38,22,4,3,10,22,-24.0
22020,1610612759,SAS,San Antonio Spurs,0022000751,2021-04-03,SAS vs. IND,L,266,133,48,99,0.485,10,29,0.345,27,32,0.844,18,28,46,22,6,6,17,21,-6.0
22020,1610612759,SAS,San Antonio Spurs,0022000735,2021-04-01,SAS vs. ATL,L,291,129,49,110,0.445,13,40,0.325,18,24,0.75,11,35,46,25,8,6,6,22,-5.0
22020,1610612759,SAS,San Antonio Spurs,0022000728,2021-03-31,SAS vs. SAC,W,242,120,43,92,0.467,10,26,0.385,24,34,0.706,14,40,54,24,9,2,10,17,14.0
22020,1610612759,SAS,San Antonio Spurs,0022000714,2021-03-29,SAS vs. SAC,L,238,115,47,93,0.505,10,27,0.37,11,14,0.786,12,29,41,24,5,4,11,18,-17.0
22020,1610612759,SAS,San Antonio Spurs,0022000697,2021-03-27,SAS vs. CHI,W,241,120,46,85,0.541,10,25,0.4,18,28,0.643,4,37,41,29,9,7,10,15,16.0
22020,1610612759,SAS,San Antonio Spurs,0022000680,2021-03-25,SAS vs. LAC,L,240,85,33,82,0.402,8,23,0.348,11,13,0.846,2,37,39,16,4,6,7,14,-13.0
22020,1610612759,SAS,San Antonio Spurs,0022000675,2021-03-24,SAS vs. LAC,L,241,101,39,85,0.459,7,22,0.318,16,19,0.842,6,34,40,22,6,6,16,24,-33.0
22020,1610612759,SAS,San Antonio Spurs,0022000655,2021-03-22,SAS vs. CHA,L,241,97,36,78,0.462,11,32,0.344,14,17,0.824,5,33,38,17,5,9,14,22,-3.0
22020,1610612759,SAS,San Antonio Spurs,0022000643,2021-03-20,SAS @ MIL,L,239,113,46,96,0.479,12,33,0.364,9,10,0.9,5,36,41,29,6,4,9,11,-7.0
22020,1610612759,SAS,San Antonio Spurs,0022000435,2021-03-19,SAS @ CLE,W,241,116,41,88,0.466,7,18,0.389,27,33,0.818,17,34,51,19,5,4,13,25,6.0
22020,1610612759,SAS,San Antonio Spurs,0022000621,2021-03-17,SAS @ CHI,W,241,106,38,89,0.427,8,31,0.258,22,30,0.733,13,33,46,19,5,6,9,8,7.0
22020,1610612759,SAS,San Antonio Spurs,0022000428,2021-03-15,SAS @ DET,W,240,109,47,83,0.566,12,25,0.48,3,5,0.6,10,35,45,29,3,9,21,23,10.0
22020,1610612759,SAS,San Antonio Spurs,0022000595,2021-03-14,SAS @ PHI,L,240,99,36,85,0.424,4,21,0.19,23,31,0.742,10,22,32,20,8,10,9,13,-35.0
22020,1610612759,SAS,San Antonio Spurs,0022000583,2021-03-12,SAS vs. ORL,W,240,104,40,89,0.449,10,29,0.345,14,18,0.778,7,38,45,24,8,5,9,15,27.0
22020,1610612759,SAS,San Antonio Spurs,0022000567,2021-03-10,SAS @ DAL,L,241,104,38,83,0.458,12,28,0.429,16,20,0.8,6,24,30,18,10,2,9,19,-11.0
22020,1610612759,SAS,San Antonio Spurs,0022000556,2021-03-04,SAS vs. OKC,L,241,102,40,85,0.471,10,31,0.323,12,12,1.0,6,40,46,23,9,5,19,24,-5.0
22020,1610612759,SAS,San Antonio Spurs,0022000541,2021-03-02,SAS vs. NYK,W,240,119,43,89,0.483,18,42,0.429,15,21,0.714,9,36,45,31,12,4,8,14,26.0
22020,1610612759,SAS,San Antonio Spurs,0022000534,2021-03-01,SAS vs. BKN,L,264,113,44,97,0.454,15,35,0.429,10,15,0.667,9,39,48,30,2,3,9,16,-11.0
22020,1610612759,SAS,San Antonio Spurs,0022000514,2021-02-27,SAS vs. NOP,W,239,117,41,86,0.477,12,32,0.375,23,28,0.821,8,30,38,24,7,5,8,26,3.0
22020,1610612759,SAS,San Antonio Spurs,0022000495,2021-02-24,SAS @ OKC,L,240,99,40,86,0.465,9,25,0.36,10,15,0.667,6,38,44,20,10,4,12,13,-3.0
22020,1610612759,SAS,San Antonio Spurs,0022000414,2021-02-14,SAS @ CHA,W,240,122,48,96,0.5,10,34,0.294,16,19,0.842,10,33,43,31,13,4,9,13,12.0
22020,1610612759,SAS,San Antonio Spurs,0022000397,2021-02-12,SAS @ ATL,W,241,125,45,85,0.529,12,31,0.387,23,28,0.821,8,38,46,27,6,6,13,25,11.0
22020,1610612759,SAS,San Antonio Spurs,0022000378,2021-02-09,SAS vs. GSW,L,240,91,32,86,0.372,8,24,0.333,19,21,0.905,8,37,45,20,2,5,14,16,-23.0
22020,1610612759,SAS,San Antonio Spurs,0022000371,2021-02-08,SAS vs. GSW,W,241,105,39,96,0.406,11,31,0.355,16,19,0.842,10,36,46,24,12,6,10,16,5.0
22020,1610612759,SAS,San Antonio Spurs,0022000358,2021-02-06,SAS @ HOU,W,239,111,37,87,0.425,8,25,0.32,29,36,0.806,7,37,44,22,6,7,10,18,5.0
22020,1610612759,SAS,San Antonio Spurs,0022000334,2021-02-03,SAS vs. MIN,W,239,111,43,96,0.448,7,26,0.269,18,24,0.75,7,38,45,28,5,6,7,13,3.0
22020,1610612759,SAS,San Antonio Spurs,0022000320,2021-02-01,SAS vs. MEM,L,239,102,37,89,0.416,13,37,0.351,15,22,0.682,10,32,42,28,8,7,14,13,-31.0
22020,1610612759,SAS,San Antonio Spurs,0022000304,2021-01-30,SAS vs. MEM,L,242,112,39,83,0.47,13,29,0.448,21,26,0.808,8,30,38,25,7,5,13,16,-17.0
22020,1610612759,SAS,San Antonio Spurs,0022000296,2021-01-29,SAS vs. DEN,W,241,119,44,81,0.543,10,23,0.435,21,26,0.808,9,32,41,29,8,1,12,18,10.0
22020,1610612759,SAS,San Antonio Spurs,0022000280,2021-01-27,SAS vs. BOS,W,238,110,46,82,0.561,8,28,0.286,10,16,0.625,9,37,46,22,5,4,19,16,4.0
22020,1610612759,SAS,San Antonio Spurs,0022000253,2021-01-24,SAS vs. WAS,W,239,121,48,96,0.5,15,31,0.484,10,11,0.909,5,39,44,27,11,5,8,14,20.0
22020,1610612759,SAS,San Antonio Spurs,0022000237,2021-01-22,SAS vs. DAL,L,240,117,41,89,0.461,12,28,0.429,23,30,0.767,9,40,49,21,3,5,7,18,-5.0
22020,1610612759,SAS,San Antonio Spurs,0022000223,2021-01-20,SAS @ GSW,L,242,99,35,94,0.372,4,33,0.121,25,31,0.806,12,31,43,17,7,2,10,15,-22.0
22020,1610612759,SAS,San Antonio Spurs,0022000207,2021-01-18,SAS @ POR,W,241,125,48,90,0.533,15,33,0.455,14,16,0.875,12,36,48,33,6,6,12,17,21.0
22020,1610612759,SAS,San Antonio Spurs,0022000189,2021-01-16,SAS vs. HOU,W,241,103,40,100,0.4,5,24,0.208,18,23,0.783,17,41,58,19,10,7,12,21,12.0
22020,1610612759,SAS,San Antonio Spurs,0022000176,2021-01-14,SAS vs. HOU,L,238,105,42,92,0.457,9,31,0.29,12,16,0.75,10,31,41,26,10,4,10,17,-4.0
22020,1610612759,SAS,San Antonio Spurs,0022000162,2021-01-12,SAS @ OKC,W,240,112,41,95,0.432,10,35,0.286,20,22,0.909,7,39,46,26,8,5,4,20,10.0
22020,1610612759,SAS,San Antonio Spurs,0022000147,2021-01-10,SAS @ MIN,L,240,88,36,94,0.383,8,30,0.267,8,14,0.571,9,36,45,21,4,5,10,16,-8.0
22020,1610612759,SAS,San Antonio Spurs,0022000138,2021-01-09,SAS @ MIN,W,266,125,44,101,0.436,13,32,0.406,24,29,0.828,12,36,48,22,8,3,6,19,3.0
22020,1610612759,SAS,San Antonio Spurs,0022000121,2021-01-07,SAS @ LAL,W,240,118,43,92,0.467,16,35,0.457,16,17,0.941,6,34,40,28,4,3,6,15,9.0
22020,1610612759,SAS,San Antonio Spurs,0022000105,2021-01-05,SAS @ LAC,W,241,116,44,96,0.458,20,40,0.5,8,11,0.727,11,33,44,23,9,3,10,13,3.0
22020,1610612759,SAS,San Antonio Spurs,0022000089,2021-01-03,SAS vs. UTA,L,240,109,44,105,0.419,6,19,0.316,15,21,0.714,14,31,45,23,13,4,7,16,-21.0
22020,1610612759,SAS,San Antonio Spurs,0022000075,2021-01-01,SAS vs. LAL,L,241,103,36,85,0.424,13,34,0.382,18,26,0.692,8,37,45,23,3,8,13,20,-6.0
22020,1610612759,SAS,San Antonio Spurs,0022000060,2020-12-30,SAS vs. LAL,L,239,107,40,87,0.46,10,24,0.417,17,23,0.739,7,32,39,25,8,4,10,18,-14.0
22020,1610612759,SAS,San Antonio Spurs,0022000034,2020-12-27,SAS @ NOP,L,239,95,38,89,0.427,11,36,0.306,8,8,1.0,4,43,47,26,5,10,15,23,-3.0
22020,1610612759,SAS,San Antonio Spurs,0022000027,2020-12-26,SAS vs. TOR,W,240,119,47,100,0.47,14,34,0.412,11,16,0.688,14,39,53,36,4,3,16,20,5.0
22020,1610612759,SAS,San Antonio Spurs,0022000017,2020-12-23,SAS @ MEM,W,240,131,48,95,0.505,10,25,0.4,25,29,0.862,8,40,48,28,8,8,10,18,12.0
12020,1610612759,SAS,San Antonio Spurs,0012000034,2020-12-17,SAS @ HOU,L,239,106,36,88,0.409,7,33,0.212,27,32,0.844,9,32,41,17,8,4,13,16,-22.0
12020,1610612759,SAS,San Antonio Spurs,0012000026,2020-12-15,SAS @ HOU,L,240,98,36,84,0.429,10,31,0.323,16,27,0.593,11,32,43,23,12,3,20,22,-14.0
12020,1610612759,SAS,San Antonio Spurs,0012000008,2020-12-12,SAS vs. OKC,L,240,108,38,101,0.376,15,38,0.395,17,25,0.68,11,34,45,23,11,6,10,23,-14.2
